,제목,설명,저자,출판사,출판일,보유,대출,예약,카테고리
3,듣기의 말들,,박총 저,YES24,2023-07-29,1,1,1,인문/사회
4,세상을 바꿀 미래기술 12가지,,한국현 저,YES24,2023-07-28,1,1,0,컴퓨터와인터넷
5,사격의 과학,,가노 요시노리 저/신찬 역,YES24,2023-07-25,1,1,0,자연과과학
6,[단독] 명탐정의 제물,,시라이 도모유키 저/구수영 역,YES24,2023-07-25,1,1,4,문학
7,순도 100퍼센트의 휴식,,박상영 저,YES24,2023-07-25,1,1,3,문학
8,90일 밤의 우주,,"김명진,김상혁,노경민,신지혜,이우경,정태현,정해임,홍성욱 공저",YES24,2023-07-21,1,1,0,자연과과학
9,위기의 역사,,오건영 저,YES24,2023-07-21,1,1,3,비즈니스와경제
10,인공지능의 서곡 : 끝나지 않은 대결,,김종선 저,YES24,2023-07-21,1,0,0,장르문학
11,주식 가치평가를 위한 작은 책,,애스워드 다모다란 저/정호성 역,YES24,2023-07-20,1,1,0,비즈니스와경제
12,스스로 블랙홀에 뛰어든 사나이,,김달영 저,YES24,2023-07-20,1,1,0,어린이/청소년
16,[단독] 오늘도 망설이다 하루가 다 갔다,,"샐리 M. 윈스턴,마틴 N. 세이프 공저/박이봄 역",YES24,2023-07-20,2,2,0,인문/사회
17,힘든 일을 먼저 하라,,스콧 앨런 저/이희경 역 ,YES24,2023-07-20,2,0,0,자기관리
7009,[단독] 오늘도 망설이다 하루가 다 갔다,“어디로 가는지 그 목적지를 미리 볼 필요는 없다.  그저 자신 앞에 놓인 1미터만을 봐야 할 뿐이다“인생의 모든 모퉁이를 돌 때마다 최악의 시나리오를 상상하는 당신을 위해  40여 년간 수천 명을 치료한 불안장애 전문가가 안내하는 ...,"샐리 M. 윈스턴,마틴 N. 세이프 공저/박이봄 역",심심,2023-07-20,,,,
18,[단독] 핵가족,,한요셉 저,YES24,2023-07-19,2,2,0,문학
19,엔화의 미래,,가라카마 다이스케 저/신희원 역  ,YES24,2023-07-19,1,0,0,비즈니스와경제
20,말로 표현하면 모든 슬픔이 사라질 거야,,가바사와 시온 저/이주희 역 ,YES24,2023-07-18,1,1,2,자기관리
21,당신이 보고 싶어하는 세상,,장강명 저,YES24,2023-07-18,5,4,0,문학
22,그녀가 마지막에 본 것은,,마사키 도시카 저/이정민 역,YES24,2023-07-17,1,0,0,문학
23,"딱 하나만 선택하라면, 운동",,세라 커책 저/김잔디 역,YES24,2023-07-17,1,1,1,자기관리
24,여의도 선수들의 비밀,,이대호 저 ,YES24,2023-07-17,1,0,0,비즈니스와경제
25,나는 오늘도 성공을 준비한다,,박상황 저 ,YES24,2023-07-17,1,0,0,자기관리
29,스몰 트라우마,,멕 애럴 저/박슬라 역/김현수 감수,YES24,2023-07-14,2,1,0,인문/사회
30,공부하고 있다는 착각,,대니얼 T. 윌링햄 저/박세연 역,YES24,2023-07-14,2,2,2,인문/사회
31,그림 실력이 좋아지는 치트 스킬,,사이토 나오키 저/김재훈 역,YES24,2023-07-14,1,1,0,가정과생활
32,안의 바깥,,이희원 저,YES24,2023-07-14,1,0,0,문학
33,꿈이 다시 내게 말해,,김은숙 (KIM EUNSUK) 저,YES24,2023-07-14,1,0,0,자기관리
3941,스몰 트라우마,"“사소한 상처는 결코 사소하지 않다”조용히 당신의 삶을 갉아먹는 우울, 불안, 무기력의 정체전 세계 25개국 판권 수출된 화제작정신의학계에서 새롭게 주목하는 개념 ‘스몰 트라우마’ 본격적으로 다루는 첫 책김현수 정신과 전문의, 안산 ...",멕 애럴 저/박슬라 역/김현수 감수,갤리온,2023-07-14,,,,
34,최선을 다하면 죽는다,,"황선우,김혼비 저",YES24,2023-07-13,5,4,0,문학
35,강력의 탄생,,김현철 저,YES24,2023-07-13,1,1,0,자연과과학
4667,최선을 다하면 죽는다,"우리 시대의 여성들에게 새로운 화두와 용기를 전해주는 팟캐스트 [여자 둘이 토크하고 있습니다]를 진행하며 똑부러지게 일하고 말하는 ‘멋언니’로 각광받는 황선우 작가, 그리고 『우아하고 호쾌한 여자 축구』와 『아무튼, 술』 등의 독보적...","황선우,김혼비 저",문학동네,2023-07-13,,,,
36,나를 지키는 관계가 먼저입니다,,안젤라 센 저 ,YES24,2023-07-12,1,1,2,자기관리
37,[단독] 변론의 법칙,,마이클 코넬리 저/한정아 역,YES24,2023-07-12,2,2,3,문학
38,파이썬 텍스트 마이닝 완벽 가이드 (개정판),,"박상언,강주영 저",YES24,2023-07-12,1,0,0,컴퓨터와인터넷
42,울게 되는 한국사,,김재원 저 ,YES24,2023-07-12,1,1,0,인문/사회
43,교양 고전 독서,,노명우 저,YES24,2023-07-11,1,1,0,인문/사회
44,주디스 헌의 외로운 열정,,브라이언 무어 저/고유경 역,YES24,2023-07-11,1,0,0,문학
45,"과학, 그게 최선입니까?",,강호정 저,YES24,2023-07-11,1,1,0,자연과과학
46,답만 외우는 바리스타 자격시험 1급 기출예상문제집,,류중호 저,YES24,2023-07-10,1,0,0,수험서/자격증
47,생산자의 법칙,,스테르담 저,YES24,2023-07-10,1,0,0,자기관리
48,노션 Notion 라이프,,박현정 저,YES24,2023-07-10,1,1,1,컴퓨터와인터넷
49,최소한의 한국사,,최태성 저 ,YES24,2023-07-10,1,1,3,인문/사회
50,말에 구원받는다는 것,,아라이 유키 저/배형은 역,YES24,2023-07-10,1,0,0,인문/사회
51,"경이로운, 나에게 답하다",,박경희 저,YES24,2023-07-07,1,0,0,문학
55,"미디어, 디지털 세상을 잇다",,주형일 저,YES24,2023-07-07,1,0,0,인문/사회
56,다오 DAO,,이유미 저 ,YES24,2023-07-07,2,0,0,비즈니스와경제
57,금리는 답을 알고 있다,,김유성 저 ,YES24,2023-07-07,1,0,0,비즈니스와경제
2095,금리는 답을 알고 있다,"우리의 운명을 바꿀 숫자, 금리베테랑 경제부 기자가 알려주는 가장 쉬운 금리 지식2022년 3월부터 미국은 10번 연속 기준금리를 올렸지만, 2023년 5월 제롬 파월 연방준비제도(연준, Fed) 의장이 금리 인상 중단 의사를 내비침...",김유성 저 ,경이로움,2023-07-07,,,,
58,무한한 부의 시대가 온다,,"폴 제인 필저,스티븐 P. 자초 공저/유지연 역  ",YES24,2023-07-06,1,1,0,비즈니스와경제
59,내가 너무 애매하게 구나?,,샘 젤 저/존 최 역 ,YES24,2023-07-06,1,0,0,비즈니스와경제
60,메타인지의 힘,,구본권 저,YES24,2023-07-06,1,0,0,인문/사회
4695,메타인지의 힘,"인간의 가장 고등한 지적 능력이자 기계와 구별되는 유일한 인지 능력, ‘메타인지’에 관한 종합교양서. 최근 전 세계 뇌과학, 신경과학, 심리학, 인지과학 연구자들이 가장 중요하게 탐구해온 주제이자 인공지능 시대에 반드시 갖춰야 할 경...",구본권 저,어크로스,2023-07-06,,,,
61,부서진 우울의 말들,,에바 메이어르 저/김정은 역,YES24,2023-07-05,1,1,1,문학
62,감정의 뇌과학,,레오나르드 믈로디노프 저/장혜인 역,YES24,2023-07-05,1,1,0,자연과과학
63,2024미래의 식량 빈곤은 더 이상 없다,,신경원  저,YES24,2023-07-05,1,0,0,인문/사회
64,심리학으로 읽는 손자병법,,이동연 저,YES24,2023-07-05,1,0,0,자기관리
68,홍당무는 이제 안녕,,이정화 저,YES24,2023-07-05,1,0,0,문학
69,내 돈을 지켜주는 친절한 생활 속 법률 상식,,"곽상빈,안소윤 공저 ",YES24,2023-07-05,1,1,0,인문/사회
70,전쟁 같은 맛,,그레이스 M. 조 저/주해연 역,YES24,2023-07-05,5,1,0,문학
71,최강의 브레인 해킹,,엘리자베스 리커 저/이영래 역,YES24,2023-07-05,1,1,1,자기관리
72,당신이 빨리 죽었으면 좋겠어,,황은정 저,YES24,2023-07-05,1,1,2,인문/사회
73,평범하게 비범한 철학 에세이,,김필영 저,YES24,2023-07-04,1,0,0,인문/사회
74,나도 단순하게 살기로 했다,,루이스 액설로드 저,YES24,2023-07-04,1,1,0,자기관리
75,아무 일도 하지 말라,,이오갑 저,YES24,2023-07-04,1,0,0,인문/사회
76,그럴 수 있어,,양희은 저,YES24,2023-07-04,2,1,0,문학
77,개는 어떻게 말하는가,,스탠리 코렌 저/박영철 역,YES24,2023-07-03,1,0,0,가정과생활
81,인공지능 전문가가 알려 주는 챗GPT로 대화하는 기술,,박해선 저,YES24,2023-07-03,1,0,0,컴퓨터와인터넷
82,나는 왜 이렇게 웃긴가,,이반지하 저,YES24,2023-07-03,5,0,0,문학
83,악마의 계약서는 만기 되지 않는다,,리러하 저,YES24,2023-07-03,1,1,0,문학
84,미술관을 훔치다,,모네 저,YES24,2023-07-03,1,1,0,예술/대중문화
85,낯선 사람,,김도훈 저,YES24,2023-07-03,2,0,0,인문/사회
598,미술관을 훔치다,"어느 날, 여지없이 많은 인파속에서 서로 닿지 않으려고 조심하며 그림을 바라보고 있던 중 어느새 그 공간에 나와 그림만 남아있는 느낌을 받았다. 단 몇 초였을 것이다. 하지만 시간이 멈춘듯 아무 소리도 들리지 않았고 온전히 그림 속 ...",모네 저,The 큰,2023-07-03,,,,
5397,낯선 사람,"“인생은 ‘원 히트 원더’, 우리는 가장 빛나는 순간을 좇으며 산다”단 한 번, 그러나 절대 사라지지 않을 절정의 순간을 산 사람들부도덕함에 대항하는 부도덕함, 칠순의 포르노스타극도로 존경받고 극도로 미움받는 도발적인 소설가불순한, ...",김도훈 저,한겨레출판,2023-07-03,,,,
86,"여행할 땐, 책",,김남희 저,YES24,2023-07-01,1,0,0,문학
87,무례한 사람을 다루는 법,,이헌주 저,YES24,2023-07-01,1,0,0,자기관리
3679,무례한 사람을 다루는 법,"심리학 분야 인기 유튜브 영상 ‘당신을 만만하게 보는 사람, 한마디로 제압하는 법’의 이헌주 연세대학교 교수가 첫 대중서 『무례한 사람을 다루는 법』을 출간했다. 상담학자이자 상담심리가인 저자는 누구나 인간관계 안에서 자신을 단단하게...",이헌주 저,허들링북스,2023-07-01,,,,
88,나는 음악에게 인생을 배웠다,,빅터 우튼 저/배지은 역,YES24,2023-06-30,1,0,0,예술/대중문화
89,이토록 재밌는 면역 이야기,,김은중 글그림,YES24,2023-06-30,1,1,0,자연과과학
90,폭탄,,오승호 저/이연승 역,YES24,2023-06-30,1,1,2,문학
94,이렇게 살면 큰일 나는 줄 알았지,,리틀타네 저,YES24,2023-06-30,2,0,0,문학
95,만조를 기다리며,,조예은 저,YES24,2023-06-30,2,1,0,문학
96,나에겐 상처받을 이유가 없다,,원은수 저,YES24,2023-06-30,1,0,0,인문/사회
97,은유가 바꾸는 세상,,"김용규,김유림 공저",YES24,2023-06-30,1,0,0,인문/사회
98,매우 예민한 사람들을 위한 상담소,,전홍진 저,YES24,2023-06-30,2,2,0,인문/사회
99,우리에게 아직 사랑이 남아 있다면,,박여름 저,YES24,2023-06-30,1,1,0,문학
100,"색, 빛의 언어",,악셀 뷔터저 /이미옥 역,YES24,2023-06-29,1,0,0,자연과과학
101,전문직을 위한 인공지능 챗GPT,,"최재용,김경희,김다희,김정화,김중현,배미주,원수희,이진호,황충빈 공저 ",YES24,2023-06-29,1,0,0,컴퓨터와인터넷
102,나는 앞으로 몇 번의 보름달을 볼 수 있을까,,류이치 사카모토 저/황국영 역,YES24,2023-06-28,2,2,0,문학
103,기적의 탄단지 다이어트 레시피,,지영현(조은fine) 저,YES24,2023-06-28,1,0,0,가정과생활
107,지구의 마지막 숲을 걷다,,벤 롤런스 저/노승영 역,YES24,2023-06-28,2,1,0,인문/사회
108,누구에게나 일어날 수 있는 일,,백호현 저,YES24,2023-06-28,1,0,0,문학
109,한 방울의 살인법,,닐 브래드버리 저/김은영 역,YES24,2023-06-28,2,0,0,자연과과학
110,요즘 팀장의 오답 노트,,서현직 저 ,YES24,2023-06-27,2,1,0,비즈니스와경제
111,제2의 뇌! 장 혁명,,김나영 저,YES24,2023-06-27,1,0,0,가정과생활
112,화학의 눈으로 보면 녹색지구가 펼쳐진다,,원정현 저,YES24,2023-06-26,1,0,0,자연과과학
113,누구도 나를 파괴할 수 없다,,데이비드 고긴스 저/이영래 역 ,YES24,2023-06-26,2,0,0,자기관리
114,"감성의 소리, 우리가 나눈 대화의 마법",,조길남 외 30명 저,YES24,2023-06-23,1,1,0,문학
115,TV 보고 배낭 메고,,홍순심 저,YES24,2023-06-23,1,0,0,가정과생활
116,현대사상 입문,,지바 마사야 저/김상운 역,YES24,2023-06-23,2,1,0,인문/사회
120,나를 살게 하는,,루시아 저,YES24,2023-06-22,1,0,0,문학
121,생물학의 쓸모,,김응빈 저,YES24,2023-06-22,2,2,0,자연과과학
122,[단독] 영어는 한마디로 자신감,,윤상훈 저/하루 그림,YES24,2023-06-21,1,1,0,국어와외국어
123,풍수전쟁,,김진명 저,YES24,2023-06-21,1,0,0,문학
124,슬픔의 방문,,장일호 저,YES24,2023-06-21,1,0,0,문학
125,[단독] 오늘부터 걷기 리셋,,홍정기 저,YES24,2023-06-21,1,1,1,가정과생활
126,오징어게임의 비밀,,박대규 저,YES24,2023-06-20,1,0,0,인문/사회
127,Do it! 점프 투 파이썬,,박응용 저,YES24,2023-06-20,2,1,0,컴퓨터와인터넷
128,얼굴 없는 중개자들,,"하비에르 블라스,잭 파시 공저/김정혜 역 ",YES24,2023-06-20,1,1,0,비즈니스와경제
129,구글 SEO 마스터하기: 완벽한 가이드,,최수영 저,YES24,2023-06-20,1,0,0,자기관리
133,노예의 길,,프리드리히 A. 하이에크 저/김이석 역,YES24,2023-06-20,1,0,0,비즈니스와경제
134,[단독] 베러티,,콜린 후버 저/민지현 역,YES24,2023-06-19,1,0,0,문학
135,비열한 시장과 도마뱀의 뇌,,테리 버넘 저/이주영 역/이상건 감수 ,YES24,2023-06-19,2,0,0,비즈니스와경제
136,일의 본질,,김용석 저,YES24,2023-06-19,1,0,0,비즈니스와경제
137,"오늘, 나는 알아넌에 간다",,햇살 저,YES24,2023-06-18,1,0,0,문학
138,인생은 아름다워,,윤창일 저,YES24,2023-06-18,1,0,0,문학
139,70세의 정답,,와다 히데키저/이정미 역,YES24,2023-06-16,2,0,0,가정과생활
140,1그램의 무게,,임제훈 저,YES24,2023-06-16,1,0,0,문학
141,파이썬 한권으로 끝내기,,"데싸라면,빨간색 물고기,자투리코드 저",YES24,2023-06-15,1,0,0,컴퓨터와인터넷
142,위로가 결제되었습니다.,,"안보미,로즐리,이시내 등저",YES24,2023-06-15,1,0,0,문학
146,끈기보다 끊기,,유영만 저 ,YES24,2023-06-15,1,1,1,자기관리
147,[단독] 사업가를 만드는 작은 책,,사업하는 허대리(N잡하는 허대리) 저,YES24,2023-06-15,2,0,0,비즈니스와경제
148,진짜 쓰는 일러스트레이터,,우디 저,YES24,2023-06-15,1,0,0,컴퓨터와인터넷
149,샘 올트먼의 스타트업 플레이북,,샘 올트먼 저/김동환 역 ,YES24,2023-06-15,1,0,0,비즈니스와경제
150,감정은 사라져도 결과는 남는다,,이해인 저,YES24,2023-06-15,1,1,2,문학
151,수학자가 들려주는 진짜 논리 이야기,,송용진 저,YES24,2023-06-14,2,0,0,인문/사회
152,나의 집이 점잖게 피를 마실 때,,박해수 저,YES24,2023-06-14,1,1,0,문학
153,슈퍼 개인의 탄생,,이승환 저 ,YES24,2023-06-14,1,0,0,자기관리
154,R통계데이터 분석과 시각화,,"양오석,우영목,양윤호 저",YES24,2023-06-14,1,1,0,컴퓨터와인터넷
155,"있는 공간, 없는 공간",,유정수 저 ,YES24,2023-06-13,1,0,0,비즈니스와경제
159,파쇄,,구병모 저,YES24,2023-06-13,2,2,0,문학
160,밥 프록터 부의 원리,,밥 프록터 저/이재경 역/조성희 감수 ,YES24,2023-06-13,1,1,0,자기관리
161,네 인생 우습지 않다,,전한길 저 ,YES24,2023-06-12,2,0,0,자기관리
162,유현준의 인문 건축 기행,,유현준 저,YES24,2023-06-12,1,1,1,인문/사회
163,"못 말리게 시끄럽고, 참을 수 없이 웃긴 철학책",,스콧 허쇼비츠 저/안진이 역,YES24,2023-06-12,1,1,0,인문/사회
164,알아차림에 대한 알아차림,,루퍼트 스파이라 저/김주환 역,YES24,2023-06-12,1,0,0,인문/사회
165,분자 조각가들,,백승만 저,YES24,2023-06-12,2,1,0,자연과과학
166,데이터 과학자 원칙,,"권정민,권시현,김영민,김진환,박준석,변성윤,이정원,이진형,이제현 저",YES24,2023-06-12,1,0,0,컴퓨터와인터넷
167,바다가 들리는 편의점,,마치다 소노코 저/황국영 역,YES24,2023-06-12,1,1,1,문학
168,리얼 교토 2022~2023 (개정판),,"황성민,정현미 공저",YES24,2023-06-12,1,0,0,가정과생활
172,SEO 전문가의 알아야 할 기본 상식,,씨익북스 편집부 저,YES24,2023-06-10,1,0,0,자기관리
173,무조건 통과하는 공문서 작성법,,이무하 저 ,YES24,2023-06-09,1,0,0,자기관리
174,1페이지 주가차트,,주월 저 ,YES24,2023-06-09,1,1,0,비즈니스와경제
175,간단한 습관이 끝까지 간다,,호리에 다카후미 저/장은주 역  ,YES24,2023-06-09,1,1,0,자기관리
176,[단독] 더티 워크,,이얼 프레스 저/오윤성 역,YES24,2023-06-09,2,1,0,인문/사회
177,초인류,,김상균 저,YES24,2023-06-08,2,2,0,비즈니스와경제
178,디지털이 할 수 없는 것들,,데이비드 색스 저/문희경 역  ,YES24,2023-06-08,1,0,0,비즈니스와경제
179,방주,,유키 하루오 저/김은모 역,YES24,2023-06-08,1,0,0,문학
180,내장 지방,,"구리하라 다케시 감수/최연경,김선숙 공역",YES24,2023-06-08,1,0,1,자연과과학
181,한밤의 시간표,,정보라 저,YES24,2023-06-07,1,0,0,문학
185,피아노 시작하는 법,,임정연 저 ,YES24,2023-06-05,1,0,0,예술/대중문화
186,그렇게 우리의 이름이 되는 것이라고,,신유진 저,YES24,2023-06-05,1,0,0,문학
187,나노화학,,장홍제 저,YES24,2023-06-05,1,0,0,자연과과학
188,회복탄력성의 힘,,지니 킴 저,YES24,2023-06-05,1,0,0,가정과생활
189,"비트코인, 그리고 달러의 지정학",,오태민 저 ,YES24,2023-06-05,1,1,0,비즈니스와경제
190,거인의 리더십,,신수정 저,YES24,2023-06-05,1,1,0,비즈니스와경제
191,꼬리에 꼬리를 무는 한국경제사,,김정인 저,YES24,2023-06-05,1,1,0,인문/사회
192,귀곡자,,"공원국,박찬철 공저  ",YES24,2023-06-02,1,0,0,자기관리
193,눈부신 안부,,백수린 저 저,YES24,2023-06-02,5,5,3,문학
194,우리 인생 정상 영업합니다,,쌍딸 저,YES24,2023-06-02,2,0,0,문학
198,불필요한 생각 버리기 연습,,스즈키 도시아키 저/양필성 역,YES24,2023-06-01,1,1,0,인문/사회
199,"돈을 찍어내는 제왕, 연준",,크리스토퍼 레너드 저/김승진 역 ,YES24,2023-06-01,1,1,0,비즈니스와경제
200,"결국, 당신은 바뀔 것이다",,월리스 와틀스 저/진정성 역 ,YES24,2023-06-01,1,0,0,자기관리
201,이나모리 가즈오의 마지막 수업,,이나모리 가즈오 저/양준호 역,YES24,2023-06-01,1,1,0,비즈니스와경제
202,천 개의 꿈 사전,,Dr. Michael Lennox 저,YES24,2023-05-31,1,0,0,인문/사회
203,"뇌를 바꾼 공학, 공학을 바꾼 뇌",,임창환 저,YES24,2023-05-31,1,0,0,자연과과학
204,"베르베르 씨, 오늘은 뭘 쓰세요?",,베르나르 베르베르 저/전미연 역,YES24,2023-05-30,2,0,0,문학
205,아무도 행복하지 않은 나라,,"김성회,이광수,최종건 공저",YES24,2023-05-30,1,0,0,인문/사회
206,"한땀, 감성 창업 감침질",,이수현 저,YES24,2023-05-30,1,0,0,자기관리
207,시각화 마법사,,김려은 저,YES24,2023-05-30,1,0,0,자기관리
211,요가 숲 차,,신미경 저,YES24,2023-05-26,2,1,0,문학
212,베테랑의 공부,,임종령 저,YES24,2023-05-26,2,0,0,인문/사회
213,마음설계자,,라이언 부시 저/한정훈 역,YES24,2023-05-25,2,0,0,자기관리
214,심장에 관한 거의 모든 이야기,,빌 슈트 저/김은영 역,YES24,2023-05-25,1,1,0,자연과과학
215,밤하늘에 별을 뿌리다,,구보 미스미 저/이소담 역 저,YES24,2023-05-24,1,0,0,문학
216,환상서점,,소서림 저,YES24,2023-05-24,1,1,0,문학
217,역행자 확장판,,자청 저,YES24,2023-05-24,2,2,2,자기관리
218,실버뷰,,존 르 카레 저/조영학 역,YES24,2023-05-24,2,0,0,문학
219,빅퀘스천,,"김병규,김은혜,나태주,류재언,전영수,정호승,최연호,자청 공저",YES24,2023-05-24,1,0,0,인문/사회
6214,밤하늘에 별을 뿌리다,"제167회 나오키상 수상작. 소중한 사람과 다시 없을 시절을 상실한 사람들이, 그럼에도 삶을 이어나가기로 다짐하는 찬란한 순간들을 담은 구보 미스미의 소설집이다. 책 속에는 한국 독자들에게 전하는 작가의 친필 메시지와 서명이 포함되어...",구보 미스미 저/이소담 역 저,시공사,2023-05-24,,,,
220,우주를 듣는 소년,,루스 오제키 저/정해영 역,YES24,2023-05-23,1,1,0,문학
224,자기만의 트랙,,김나이 저 ,YES24,2023-05-23,1,0,0,자기관리
225,각각의 계절,,권여선 저,YES24,2023-05-23,5,5,2,문학
226,불안한 완벽주의자를 위한 책,,"마이클 투히그,클라리사 옹 공저/이진 역",YES24,2023-05-22,1,0,0,인문/사회
227,나는 독서모임 리더다,,조희선 저,YES24,2023-05-22,1,0,0,자기관리
228,"딸아, 돈 공부 절대 미루지 마라",,박소연 저,YES24,2023-05-22,1,1,4,자기관리
229,과학의 반쪽사,,제임스 포스켓 저/김아림 역 ,YES24,2023-05-19,1,0,0,인문/사회
230,돈의 규칙,,신민철(처리형) 저,YES24,2023-05-19,1,0,0,비즈니스와경제
231,시를 품은 사진,,crystal 저,YES24,2023-05-19,1,0,0,문학
232,나다움을 찾아가는 여정,,유애숙 저,YES24,2023-05-19,1,0,0,문학
233,후쿠오카 사가 나가사키 홀리데이,,"권현지,신영철,유연태 저 ",YES24,2023-05-19,1,0,0,가정과생활
237,홋카이도 홀리데이,,인페인터글로벌 저,YES24,2023-05-19,1,0,0,가정과생활
238,"괜찮아, 그 길 끝에 행복이 기다릴 거야",,손미나 저,YES24,2023-05-19,1,0,0,문학
239,노화의 재설계,,모건 레빈 저/이한음 역,YES24,2023-05-18,2,1,0,인문/사회
240,[단독] 별일은 없고요?,,이주란 저,YES24,2023-05-18,2,0,0,문학
241,마음이 무너질 때마다 책을 펼쳤다,,유정미 저,YES24,2023-05-18,1,0,0,자기관리
242,책 먹는 고양이 망고,,안지우 저,YES24,2023-05-18,1,0,0,문학
243,오늘부터 성장할 나에게,,김새해 저,YES24,2023-05-18,1,0,0,문학
3927,책 먹는 고양이 망고,"● 책소개<br />지우네 아파트 앞에는 책 읽는 고양이 망고가 살고 있다. 책 읽는 망고를 본 사람들은 깜짝 놀라지만 망고는 그런 시선이 익숙하다. 그러던 어느 날, 망고는 휴가를 간다는 팻말만 덩그러니 남긴 채 떠난다....",안지우 저,밸류체인북스,2023-05-18,,,,
244,오십에 읽는 사기,,김영수 저,YES24,2023-05-17,1,1,0,인문/사회
245,자신의 존재에 대해 사과하지 말 것,,카밀라 팡 저/김보은 역,YES24,2023-05-17,2,1,0,자연과과학
246,형사 박미옥,,박미옥 저 ,YES24,2023-05-17,5,0,0,문학
250,이럴 줄 알았으면 말이나 타고 다닐걸,,손화신 저,YES24,2023-05-17,2,0,0,문학
251,우정 도둑,,유지혜 저,YES24,2023-05-17,2,1,0,문학
252,인지심리학,,존 폴 민다 저/노태복 역,YES24,2023-05-17,2,0,0,인문/사회
253,이끼숲,,천선란 저,YES24,2023-05-16,1,1,0,문학
254,컨티뉴어스,,윤소정 저 ,YES24,2023-05-16,2,0,0,자기관리
255,스트레스,,"유키 유 감수/이명훈,황미니 감역/김선숙역",YES24,2023-05-16,1,0,0,가정과생활
256,천천히 읽고 나누는 즐거움 슬로리딩,,윤병임 저,YES24,2023-05-16,1,0,0,인문/사회
257,불확실성의 시대,,토비아스 휘터 저/배명자 역,YES24,2023-05-15,2,1,0,자연과과학
258,이것이 C#이다 (3판),,박상현 저,YES24,2023-05-15,1,0,0,컴퓨터와인터넷
259,아주 위험한 과학책,,랜들 먼로 저/이강환 역,YES24,2023-05-15,1,1,1,자연과과학
263,집단 착각,,토드 로즈 저/노정태 역,YES24,2023-05-15,2,0,0,인문/사회
264,진화하는 언어,,"모텐 H. 크리스티안센,닉 채터 공저/이혜경 역",YES24,2023-05-15,1,0,0,인문/사회
4681,이것이 C#이다 (3판),"전문가로 레벨업!C# 프로그래밍 완전 정복이 책은 C#의 기본, 고급 문법과 더불어 기초 클래스 라이브러리까지 다루고 있다. 총 22개 장으로, 앞서 배운 내용을 활용하면서 단계별로 학습할 수 있도록 구성했다. 입문자의 눈높이에 맞춰...",박상현 저,한빛미디어,2023-05-15,,,,
265,도둑맞은 집중력,,요한 하리 저/김하현 역,YES24,2023-05-12,1,1,4,인문/사회
266,민혜연의 가인비책,,민혜연 저 ,YES24,2023-05-12,1,0,0,가정과생활
267,전뇌사고,,간다 마사노리 저/이선희 역 ,YES24,2023-05-12,2,0,0,자기관리
268,쇼펜하우어의 행복론과 인생론,,아르투어 쇼펜하우어 저/홍성광 역,YES24,2023-05-11,1,1,1,인문/사회
269,여섯 걸음,,원유경 저,YES24,2023-05-11,1,0,0,인문/사회
2522,쇼펜하우어의 행복론과 인생론,"니체, 프로이트, 채플린의 스승이자 인생을 즐긴 현실주의자, 쇼펜하우어 철학의 정수를 담은 인생 수업을유사상고전 시리즈 『의지와 표상으로서의 세계』가 2019년 전면 개정판으로 출간됐던 데에 이어 10년 만에 개정 증보판으로 소개되는...",아르투어 쇼펜하우어 저/홍성광 역,을유문화사,2023-05-11,,,,
270,게으르다는 착각,,데번 프라이스 저/이현 역,YES24,2023-05-10,1,0,0,인문/사회
271,"패션, 色을 입다",,캐롤라인 영 저/명선혜 역 ,YES24,2023-05-10,1,0,0,자기관리
272,GPT 세대가 온다,,송진주 저 ,YES24,2023-05-10,1,1,1,비즈니스와경제
276,"돈은, 너로부터다",,"김종봉,제갈현열 공저 ",YES24,2023-05-10,2,0,0,비즈니스와경제
277,와일드후드,,"바버라 내터슨 호로위츠,캐스린 바워스 공저/김은지 역",YES24,2023-05-10,1,0,0,자연과과학
278,전제의 법칙,,네빌 고다드 저,YES24,2023-05-10,1,1,0,자기관리
279,하루에 한 걸음씩 행복해지기,,"티머시 골웨이,에드 한젤릭,존 호턴 공저 ",YES24,2023-05-10,1,0,0,자기관리
280,비전공자도 이해할 수 있는 AI 지식,,박상길 저/정진호 그림,YES24,2023-05-10,1,0,0,자연과과학
281,울 2,,휴 하위 저/이수현 역,YES24,2023-05-10,1,0,0,장르문학
282,울 1,,휴 하위 저/이수현 역,YES24,2023-05-10,1,0,0,장르문학
3510,와일드후드,"“인간에 대한 통찰로 가득한 매혹적인 책”유발 하라리, 프란스 드 발, 템플 그랜딘… 초일류 석학들의 극찬‘와일드후드’는 지구상 모든 동물이 새끼에서 성체가 되는 특정 시기이자 그때 공통적으로 겪는 경험을 가리키는 말이다. 초파리는 ...","바버라 내터슨 호로위츠,캐스린 바워스 공저/김은지 역",쌤앤파커스,2023-05-10,,,,
283,제법 엄숙한 얼굴,,"지하련,임솔아 저",YES24,2023-05-09,1,0,0,문학
284,미드나잇 뮤지엄: 파리,,박송이 저,YES24,2023-05-09,1,0,0,예술/대중문화
285,밤의 경비원,,루이스 어드리크 저/이지예 역,YES24,2023-05-09,1,0,0,문학
289,일본 현지 빵 대백과,,타쓰미 출판 편집부 저/수키 역,YES24,2023-05-09,1,0,0,가정과생활
290,강남에서 도시락 파는 여자,,정지원 저,YES24,2023-05-09,1,0,0,비즈니스와경제
291,무례한 사람들의 말에 말려들지 않는 법,,미하엘 엘러스(Michael Ehlers) 저/이지혜 역,YES24,2023-05-09,1,0,0,자기관리
